Split,Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
CV-Train,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Val,0,0.6341,0.8874,0.6341,0.6335,0.6249,0.54,0.5445
CV-Val,1,0.561,0.8566,0.561,0.5829,0.5698,0.4464,0.4474
CV-Val,2,0.6098,0.9085,0.6098,0.6283,0.6106,0.506,0.5087
CV-Val,3,0.6341,0.8668,0.6341,0.6668,0.6378,0.5287,0.5346
CV-Val,4,0.6098,0.9059,0.6098,0.6172,0.6061,0.5019,0.5046
CV-Val,5,0.6829,0.8727,0.6829,0.6921,0.6581,0.59,0.606
CV-Val,6,0.6585,0.921,0.6585,0.6415,0.6392,0.5608,0.5666
CV-Val,7,0.65,0.8821,0.65,0.6429,0.6388,0.558,0.5611
CV-Val,8,0.475,0.8471,0.475,0.4771,0.4706,0.3296,0.3323
CV-Val,9,0.6,0.8883,0.6,0.6519,0.5856,0.4884,0.4974
CV-Train,Mean,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,Std,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CV-Val,Mean,0.6115,0.8836,0.6115,0.6234,0.6042,0.505,0.5103
CV-Val,Std,0.0558,0.0224,0.0558,0.056,0.0513,0.0703,0.0725
Train,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0
