Split,Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
CV-Train,0,0.6913,0.0,0.6913,0.6914,0.6911,0.6096,0.6097
CV-Train,1,0.6995,0.0,0.6995,0.7017,0.6999,0.6193,0.6197
CV-Train,2,0.6995,0.0,0.6995,0.699,0.6989,0.6196,0.6197
CV-Train,3,0.7022,0.0,0.7022,0.7045,0.7023,0.6238,0.6244
CV-Train,4,0.6913,0.0,0.6913,0.6938,0.6917,0.6097,0.6101
CV-Train,5,0.6885,0.0,0.6885,0.69,0.6886,0.6053,0.6056
CV-Train,6,0.6776,0.0,0.6776,0.6782,0.6776,0.5922,0.5923
CV-Train,7,0.6839,0.0,0.6839,0.6812,0.682,0.5997,0.6
CV-Train,8,0.6948,0.0,0.6948,0.694,0.6937,0.6133,0.6136
CV-Train,9,0.6894,0.0,0.6894,0.6919,0.6903,0.6073,0.6074
CV-Val,0,0.6829,0.0,0.6829,0.7027,0.6864,0.6007,0.603
CV-Val,1,0.561,0.0,0.561,0.5683,0.5583,0.4464,0.4501
CV-Val,2,0.6341,0.0,0.6341,0.6481,0.638,0.5365,0.5378
CV-Val,3,0.5366,0.0,0.5366,0.5754,0.5328,0.4125,0.4166
CV-Val,4,0.5854,0.0,0.5854,0.5957,0.584,0.472,0.4745
CV-Val,5,0.7073,0.0,0.7073,0.733,0.7006,0.6278,0.6331
CV-Val,6,0.7317,0.0,0.7317,0.7305,0.7278,0.6565,0.6581
CV-Val,7,0.625,0.0,0.625,0.6224,0.6217,0.5287,0.5295
CV-Val,8,0.65,0.0,0.65,0.651,0.6494,0.5584,0.5588
CV-Val,9,0.575,0.0,0.575,0.5058,0.5349,0.4586,0.4643
CV-Train,Mean,0.6918,0.0,0.6918,0.6926,0.6916,0.61,0.6103
CV-Train,Std,0.0072,0.0,0.0072,0.0078,0.0073,0.0091,0.0092
CV-Val,Mean,0.6289,0.0,0.6289,0.6333,0.6234,0.5298,0.5326
CV-Val,Std,0.0617,0.0,0.0617,0.0708,0.066,0.0779,0.0774
Train,nan,0.7002,0.9172,0.7002,0.6999,0.6997,0.6207,0.6209
