Split,Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
CV-Train,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Val,0,0.4634,0.8393,0.4634,0.5331,0.4862,0.3259,0.3293
CV-Val,1,0.561,0.8315,0.561,0.5796,0.5577,0.4434,0.4479
CV-Val,2,0.7073,0.9183,0.7073,0.7391,0.7129,0.6315,0.6367
CV-Val,3,0.5366,0.8578,0.5366,0.5679,0.5407,0.4076,0.4098
CV-Val,4,0.6585,0.8771,0.6585,0.6984,0.6637,0.5645,0.5684
CV-Val,5,0.6585,0.8794,0.6585,0.6359,0.6371,0.5608,0.5671
CV-Val,6,0.7073,0.9158,0.7073,0.7025,0.7041,0.6287,0.6292
CV-Val,7,0.575,0.862,0.575,0.5551,0.5595,0.4667,0.4692
CV-Val,8,0.6,0.8326,0.6,0.5937,0.5948,0.4937,0.4945
CV-Val,9,0.6,0.8652,0.6,0.5791,0.5787,0.4941,0.4996
CV-Train,Mean,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,Std,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CV-Val,Mean,0.6068,0.8679,0.6068,0.6184,0.6035,0.5017,0.5052
CV-Val,Std,0.0737,0.0293,0.0737,0.0677,0.0702,0.0922,0.0923
Train,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0
