Split,Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
CV-Train,0,0.7432,0.0,0.7432,0.7425,0.7405,0.6736,0.6748
CV-Train,1,0.7186,0.0,0.7186,0.7178,0.7172,0.6424,0.643
CV-Train,2,0.7104,0.0,0.7104,0.7071,0.7076,0.6324,0.6331
CV-Train,3,0.7131,0.0,0.7131,0.7097,0.7108,0.6365,0.6368
CV-Train,4,0.7268,0.0,0.7268,0.7244,0.725,0.6538,0.6541
CV-Train,5,0.7022,0.0,0.7022,0.6981,0.6991,0.622,0.6226
CV-Train,6,0.7077,0.0,0.7077,0.7065,0.7061,0.6289,0.6295
CV-Train,7,0.7057,0.0,0.7057,0.7045,0.7039,0.626,0.6267
CV-Train,8,0.7275,0.0,0.7275,0.7244,0.7245,0.6538,0.6546
CV-Train,9,0.7302,0.0,0.7302,0.7292,0.7282,0.6568,0.6578
CV-Val,0,0.6585,0.0,0.6585,0.6581,0.6502,0.5723,0.5761
CV-Val,1,0.5854,0.0,0.5854,0.5876,0.581,0.4748,0.4777
CV-Val,2,0.561,0.0,0.561,0.5963,0.5641,0.4443,0.4483
CV-Val,3,0.6341,0.0,0.6341,0.7029,0.6383,0.5262,0.537
CV-Val,4,0.6098,0.0,0.6098,0.6398,0.6094,0.5008,0.5047
CV-Val,5,0.7561,0.0,0.7561,0.7675,0.7495,0.687,0.693
CV-Val,6,0.6829,0.0,0.6829,0.6814,0.661,0.5906,0.6016
CV-Val,7,0.65,0.0,0.65,0.6425,0.6441,0.5597,0.5606
CV-Val,8,0.675,0.0,0.675,0.6675,0.6663,0.588,0.5903
CV-Val,9,0.575,0.0,0.575,0.5652,0.5613,0.459,0.4628
CV-Train,Mean,0.7185,0.0,0.7185,0.7164,0.7163,0.6426,0.6433
CV-Train,Std,0.0124,0.0,0.0124,0.013,0.0124,0.0156,0.0158
CV-Val,Mean,0.6388,0.0,0.6388,0.6509,0.6325,0.5403,0.5452
CV-Val,Std,0.056,0.0,0.056,0.0566,0.0539,0.0704,0.0712
Train,nan,0.7174,0.9253,0.7174,0.715,0.715,0.6412,0.6419
