Split,Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
CV-Train,0,0.6803,0.906,0.6803,0.6769,0.6774,0.5959,0.5963
CV-Train,1,0.6913,0.915,0.6913,0.6881,0.688,0.6102,0.6109
CV-Train,2,0.6667,0.9057,0.6667,0.6602,0.662,0.578,0.5786
CV-Train,3,0.6831,0.9049,0.6831,0.6755,0.6779,0.5995,0.6001
CV-Train,4,0.6885,0.9074,0.6885,0.6816,0.684,0.6059,0.6064
CV-Train,5,0.6667,0.9023,0.6667,0.6634,0.6635,0.5787,0.5793
CV-Train,6,0.6885,0.9072,0.6885,0.6836,0.6851,0.6068,0.6072
CV-Train,7,0.6567,0.9047,0.6567,0.6547,0.6536,0.5657,0.5665
CV-Train,8,0.6676,0.9003,0.6676,0.6619,0.6639,0.5791,0.5795
CV-Train,9,0.6649,0.9032,0.6649,0.6628,0.6628,0.5766,0.5771
CV-Val,0,0.6341,0.8588,0.6341,0.6269,0.6222,0.5393,0.5434
CV-Val,1,0.6341,0.8619,0.6341,0.6751,0.6416,0.5379,0.5445
CV-Val,2,0.561,0.8666,0.561,0.6058,0.562,0.4505,0.458
CV-Val,3,0.561,0.8525,0.561,0.6323,0.5548,0.431,0.4409
CV-Val,4,0.6829,0.8778,0.6829,0.6977,0.6874,0.6002,0.6015
CV-Val,5,0.6098,0.8674,0.6098,0.6129,0.5859,0.4985,0.5076
CV-Val,6,0.5854,0.8543,0.5854,0.5624,0.5685,0.4712,0.4737
CV-Val,7,0.575,0.8316,0.575,0.5903,0.5749,0.4692,0.4721
CV-Val,8,0.75,0.9231,0.75,0.7481,0.7465,0.6838,0.6849
CV-Val,9,0.575,0.8639,0.575,0.5632,0.5607,0.4616,0.4646
CV-Train,Mean,0.6754,0.9057,0.6754,0.6709,0.6718,0.5896,0.5902
CV-Train,Std,0.0116,0.0037,0.0116,0.011,0.0114,0.0149,0.0149
CV-Val,Mean,0.6168,0.8658,0.6168,0.6315,0.6104,0.5143,0.5191
CV-Val,Std,0.0579,0.0223,0.0579,0.0566,0.0609,0.0743,0.0726
Train,nan,0.683,0.9047,0.683,0.677,0.6785,0.5994,0.6001
