Split,Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
CV-Train,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Val,0,0.6829,0.8736,0.6829,0.6959,0.6831,0.6016,0.6048
CV-Val,1,0.5854,0.8557,0.5854,0.5976,0.5864,0.4752,0.4766
CV-Val,2,0.6829,0.9218,0.6829,0.7059,0.6779,0.5953,0.6013
CV-Val,3,0.5366,0.8633,0.5366,0.5763,0.5448,0.4112,0.4134
CV-Val,4,0.6829,0.9056,0.6829,0.7113,0.6649,0.5913,0.6003
CV-Val,5,0.6829,0.8856,0.6829,0.6817,0.6666,0.5909,0.6005
CV-Val,6,0.6585,0.9023,0.6585,0.6549,0.6533,0.5658,0.5671
CV-Val,7,0.75,0.8997,0.75,0.7425,0.7427,0.6835,0.6852
CV-Val,8,0.55,0.8604,0.55,0.5567,0.5406,0.4268,0.4313
CV-Val,9,0.6,0.8957,0.6,0.5983,0.586,0.4917,0.4961
CV-Train,Mean,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CV-Train,Std,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CV-Val,Mean,0.6412,0.8864,0.6412,0.6521,0.6346,0.5433,0.5476
CV-Val,Std,0.0657,0.0211,0.0657,0.0617,0.0631,0.0832,0.0838
Train,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0
