Split,Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
CV-Train,0,0.6749,0.0,0.6749,0.6713,0.6716,0.587,0.5878
CV-Train,1,0.6721,0.0,0.6721,0.6703,0.6703,0.5836,0.5841
CV-Train,2,0.6667,0.0,0.6667,0.6614,0.6625,0.577,0.5779
CV-Train,3,0.6694,0.0,0.6694,0.6614,0.6642,0.5808,0.5814
CV-Train,4,0.6612,0.0,0.6612,0.6575,0.658,0.5696,0.5704
CV-Train,5,0.6694,0.0,0.6694,0.6656,0.6659,0.5807,0.5815
CV-Train,6,0.653,0.0,0.653,0.6492,0.6503,0.56,0.5604
CV-Train,7,0.6512,0.0,0.6512,0.6466,0.6476,0.5568,0.5576
CV-Train,8,0.6594,0.0,0.6594,0.6538,0.6548,0.5667,0.5677
CV-Train,9,0.654,0.0,0.654,0.6484,0.6505,0.561,0.5614
CV-Val,0,0.5854,0.0,0.5854,0.5965,0.5729,0.4767,0.4826
CV-Val,1,0.5854,0.0,0.5854,0.6028,0.5861,0.4763,0.4785
CV-Val,2,0.6341,0.0,0.6341,0.6446,0.6304,0.5316,0.5358
CV-Val,3,0.5854,0.0,0.5854,0.6405,0.5758,0.47,0.4762
CV-Val,4,0.6098,0.0,0.6098,0.619,0.6087,0.5034,0.5053
CV-Val,5,0.6341,0.0,0.6341,0.6302,0.6027,0.5276,0.5401
CV-Val,6,0.6829,0.0,0.6829,0.6743,0.6628,0.5909,0.6005
CV-Val,7,0.625,0.0,0.625,0.6132,0.6172,0.5272,0.528
CV-Val,8,0.7,0.0,0.7,0.7054,0.6982,0.6206,0.6225
CV-Val,9,0.675,0.0,0.675,0.6628,0.6405,0.5866,0.5983
CV-Train,Mean,0.6631,0.0,0.6631,0.6586,0.6596,0.5723,0.573
CV-Train,Std,0.0081,0.0,0.0081,0.0085,0.0082,0.0103,0.0104
CV-Val,Mean,0.6317,0.0,0.6317,0.6389,0.6195,0.5311,0.5368
CV-Val,Std,0.0402,0.0,0.0402,0.0324,0.0377,0.0502,0.0513
Train,,0.6634,0.9021,0.6634,0.6582,0.6593,0.5723,0.5732
