Split,Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
CV-Train,0,0.7322,0.0,0.7322,0.7307,0.7305,0.6605,0.661
CV-Train,1,0.724,0.0,0.724,0.7232,0.7231,0.6499,0.6502
CV-Train,2,0.7049,0.0,0.7049,0.7039,0.7035,0.6254,0.626
CV-Train,3,0.7186,0.0,0.7186,0.7159,0.7167,0.6435,0.6438
CV-Train,4,0.724,0.0,0.724,0.7222,0.7229,0.6506,0.6507
CV-Train,5,0.7104,0.0,0.7104,0.7085,0.7087,0.6327,0.6331
CV-Train,6,0.7077,0.0,0.7077,0.7081,0.707,0.629,0.6295
CV-Train,7,0.7057,0.0,0.7057,0.7032,0.7038,0.6267,0.6271
CV-Train,8,0.7221,0.0,0.7221,0.7206,0.7203,0.6469,0.6475
CV-Train,9,0.733,0.0,0.733,0.7316,0.7314,0.6609,0.6614
CV-Val,0,0.6341,0.0,0.6341,0.6212,0.617,0.5414,0.5467
CV-Val,1,0.5854,0.0,0.5854,0.5876,0.581,0.4748,0.4777
CV-Val,2,0.5854,0.0,0.5854,0.6065,0.5852,0.4791,0.4838
CV-Val,3,0.6341,0.0,0.6341,0.6694,0.6404,0.5316,0.5345
CV-Val,4,0.6098,0.0,0.6098,0.6398,0.6094,0.5008,0.5047
CV-Val,5,0.7561,0.0,0.7561,0.7675,0.7495,0.687,0.693
CV-Val,6,0.7317,0.0,0.7317,0.7374,0.716,0.6533,0.6639
CV-Val,7,0.675,0.0,0.675,0.6643,0.6674,0.5902,0.5912
CV-Val,8,0.675,0.0,0.675,0.6643,0.6677,0.5889,0.5899
CV-Val,9,0.575,0.0,0.575,0.5652,0.5613,0.459,0.4628
CV-Train,Mean,0.7183,0.0,0.7183,0.7168,0.7168,0.6426,0.643
CV-Train,Std,0.01,0.0,0.01,0.01,0.01,0.0127,0.0127
CV-Val,Mean,0.6462,0.0,0.6462,0.6523,0.6395,0.5506,0.5548
CV-Val,Std,0.0593,0.0,0.0593,0.0601,0.0578,0.0737,0.0748
Train,,0.7174,0.9273,0.7174,0.7157,0.7158,0.6413,0.6418
